sdm,target,layer,r2_test
sdm-xlsr-fairseq,sdm-w2v2-asr,11,-0.19549238681793213
sdm-xlsr-fairseq,sdm-w2v2-asr,12,-0.2391263246536255
sdm-xlsr-fairseq,sdm-w2v2-asr,13,-0.22226034104824066
sdm-xlsr-fairseq,sdm-w2v2-asr,14,-0.17131924629211426
sdm-xlsr-fairseq,sdm-w2v2-asr,15,-0.17645177245140076
sdm-xlsr-fairseq,sdm-w2v2-asr,16,-0.2257683277130127
sdm-xlsr-fairseq,sdm-w2v2-asr,17,-0.23270303010940552
sdm-xlsr-fairseq,sdm-w2v2-asr,18,-0.27681660652160645
sdm-xlsr-fairseq,sdm-w2v2-asr,19,-0.3024711608886719
sdm-xlsr-fairseq,sdm-w2v2-asr,20,-0.31649017333984375
sdm-xlsr-fairseq,sdm-w2v2-asr,21,-0.44963252544403076
sdm-xlsr-fairseq,sdm-w2v2-asr,22,-0.512067973613739
sdm-xlsr-fairseq,sdm-w2v2-asr,23,-0.6524892449378967
sdm-xlsr-fairseq,sdm-w2v2-asr,24,0.2659907937049866
sdm-xlsr-fairseq,sdm-emotion2vec,0,-0.20404954254627228
sdm-xlsr-fairseq,sdm-emotion2vec,1,-0.46326279640197754
sdm-xlsr-fairseq,sdm-emotion2vec,2,-0.5173459649085999
sdm-xlsr-fairseq,sdm-emotion2vec,3,-0.6004174947738647
sdm-xlsr-fairseq,sdm-emotion2vec,4,-0.6764089465141296
sdm-xlsr-fairseq,sdm-emotion2vec,5,-0.7838221192359924
sdm-xlsr-fairseq,sdm-emotion2vec,6,-0.7335017323493958
sdm-xlsr-fairseq,sdm-emotion2vec,7,-0.6552560925483704
sdm-xlsr-fairseq,sdm-emotion2vec,8,-0.6380358338356018
sdm-xlsr-fairseq,sdm-emotion2vec,9,-0.6079717874526978
sdm-xlsr-fairseq,sdm-emotion2vec,10,-0.5717080235481262
sdm-xlsr-fairseq,sdm-emotion2vec,11,-0.5154378414154053
sdm-xlsr-fairseq,sdm-emotion2vec,12,-0.5529899597167969
sdm-xlsr-fairseq,sdm-emotion2vec,13,-0.5049825310707092
sdm-xlsr-fairseq,sdm-emotion2vec,14,-0.5205274820327759
sdm-xlsr-fairseq,sdm-emotion2vec,15,-0.5109401345252991
sdm-xlsr-fairseq,sdm-emotion2vec,16,-0.5533396005630493
sdm-xlsr-fairseq,sdm-emotion2vec,17,-0.6079487204551697
sdm-xlsr-fairseq,sdm-emotion2vec,18,-0.698974609375
