sdm,layer,target,r2_train,r2_test,n_test,n_groups_train,n_groups_test,probe_type,n_dropped,n_dropped_x_only,n_dropped_y_only,n_dropped_both,target_var,target_constant,split
sdm-xlsr-fairseq,6,sdm-dvector,0.6775906085968018,0.5400922894477844,500,400,100,mlp,0,0,0,0,0.808678150177002,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-pitch,0.9225618839263916,0.7746439576148987,500,400,100,ridge,0,0,0,0,0.26823890209198,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-pitch,0.923300564289093,0.8382761478424072,500,400,100,mlp,0,0,0,0,0.26823890209198,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-mpm,0.7970625162124634,0.24928706884384155,500,400,100,ridge,0,0,0,0,0.31650859117507935,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-mpm,0.6019089818000793,0.5010083913803101,500,400,100,mlp,0,0,0,0,0.31650859117507935,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-speaking-rate,0.6443990468978882,-0.28344130516052246,500,400,100,ridge,0,0,0,0,0.16363002359867096,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-speaking-rate,0.4644637107849121,0.12120115756988525,500,400,100,mlp,0,0,0,0,0.16363002359867096,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-w2v2-asr,0.7741968631744385,0.15351368486881256,500,400,100,ridge,0,0,0,0,0.2909645438194275,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-w2v2-asr,0.5541871786117554,0.4096982777118683,500,400,100,mlp,0,0,0,0,0.2909645438194275,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-mwhisper,0.6999979019165039,-0.09192439168691635,500,400,100,ridge,0,0,0,0,0.6189746856689453,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-mwhisper,0.21768705546855927,0.1760338991880417,500,400,100,mlp,0,0,0,0,0.6189746856689453,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-emotion2vec,0.6729840636253357,-0.21679820120334625,500,400,100,ridge,0,0,0,0,0.08824935555458069,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-emotion2vec,0.28481635451316833,0.17220067977905273,500,400,100,mlp,0,0,0,0,0.08824935555458069,False,group_by_utterance
sdm-xlsr-fairseq,7,sdm-xlsr-fairseq,0.7755844593048096,0.19724780321121216,500,400,100,ridge,0,0,0,0,0.29453492164611816,False,group_by_utterance
sdm-xlsr-fairseq,7,sdm-xlsr-fairseq,0.5030403733253479,0.4058915674686432,500,400,100,mlp,0,0,0,0,0.29453492164611816,False,group_by_utterance
sdm-xlsr-fairseq,7,sdm-dvector,0.8262596130371094,0.3437076807022095,500,400,100,ridge,0,0,0,0,0.808678150177002,False,group_by_utterance
sdm-xlsr-fairseq,7,sdm-dvector,0.6463955640792847,0.5242197513580322,500,400,100,mlp,0,0,0,0,0.808678150177002,False,group_by_utterance
sdm-xlsr-fairseq,7,sdm-pitch,0.9182142615318298,0.7810569405555725,500,400,100,ridge,0,0,0,0,0.26823890209198,False,group_by_utterance
sdm-xlsr-fairseq,7,sdm-pitch,0.9219405651092529,0.8180055022239685,500,400,100,mlp,0,0,0,0,0.26823890209198,False,group_by_utterance
